url,status,count,seconds,error
https://raw.githubusercontent.com/barry-far/V2ray-Config/main/All_Configs_Sub.txt,ok,3496,0.486,
https://raw.githubusercontent.com/mahdibland/V2RayAggregator/master/sub/sub_merge.txt,ok,3452,0.33,
https://raw.githubusercontent.com/ermaozi/get_subscribe/main/subscribe/v2ray.txt,ok,121,0.088,
https://raw.githubusercontent.com/freefq/free/master/v2,ok,7,0.118,
